Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO)
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 06:00:00, TS, -9.50,  72.50,  0.0, 1006.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 12:00:00, TS,-10.20,  71.90,  0.0, 1004.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 18:00:00, TS,-11.10,  71.40, 25.0, 1002.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 00:00:00, TS,-11.90,  71.10, 28.0,  999.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 06:00:00, TS,-12.50,  70.90, 33.0,  996.0
2010350N30175,2010,22, EP, CP,OMEKA:TD1219,2010-12-21 18:00:00, NR, 29.00,-172.60, 35.0, 1002.0
2010350N30175,2010,22, EP, CP,OMEKA:TD1219,2010-12-22 00:00:00, NR, 30.70,-172.20, 30.0, 1002.0
2010350N30175,2010,22, EP, CP,OMEKA:TD1219,2010-12-22 06:00:00, NR, 32.20,-172.40, 30.0, 1004.0
2010350N30175,2010,22, EP, CP,OMEKA:TD1219,2010-12-22 12:00:00, NR, 33.30,-172.30, 25.0, 1006.0
2010350N30175,2010,22, EP, CP,OMEKA:TD1219,2010-12-22 18:00:00, NR, 34.10,-172.00, 25.0, 1008.0
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 00:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 06:00:00, NR,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 12:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-25 18:00:00, TS,-999.,-999.,-999.,-999.
2010298S09087,2011,01, SI, MM,ONE,2010-10-26 00:00:00, TS,-999.,-999.,-999.,-999.
2011360N09088,2011,10, NI, BB,THANE,2011-12-29 21:00:00, NR, 11.80,  80.30, 75.0,  969.0
2011360N09088,2011,10, NI, BB,THANE,2011-12-30 00:00:00, NR, 11.60,  79.90, 75.0,  969.0
2011360N09088,2011,10, NI, BB,THANE,2011-12-30 03:00:00, NR, 11.60,  79.50, 55.0,  986.0
2011360N09088,2011,10, NI, BB,THANE,2011-12-30 06:00:00, NR, 11.60,  79.00, 30.0,  998.0
2011360N09088,2011,10, NI, BB,THANE,2011-12-30 12:00:00, NR, 11.60,  78.20, 25.0, 1000.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 00:00:00, NR, -5.50,  98.40, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 06:00:00, NR, -7.00,  98.10, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 12:00:00, NR, -7.40,  97.70, 15.0, 1006.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-02 18:00:00, NR, -7.70,  97.40, 20.0, 1005.0
2011336S06098,2012,01, SI, WA,ALENGA,2011-12-03 00:00:00, NR, -8.20,  97.00, 20.0, 1004.0
2012359N08134,2012,27, WP, MM,WUKONG,2012-12-28 12:00:00, TS,  8.20, 109.80,  0.0, 1004.0
2012359N08134,2012,27, WP, MM,WUKONG,2012-12-28 18:00:00, TS,  7.70, 108.40,  0.0, 1004.0
2012359N08134,2012,27, WP, MM,WUKONG,2012-12-29 00:00:00, TS,  7.40, 107.30,  0.0, 1004.0
2012359N08134,2012,27, WP, MM,WUKONG,2012-12-29 06:00:00, TS,  7.00, 106.00,  0.0, 1006.0
2012359N08134,2012,27, WP, MM,WUKONG,2012-12-29 12:00:00, TS,  7.10, 104.90,  0.0, 1006.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-10 12:00:00, TS, -3.60,  76.80,  0.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-10 18:00:00, TS, -4.90,  76.60,  0.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 00:00:00, TS, -5.90,  76.10, 20.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 06:00:00, TS, -6.50,  75.10, 20.0, 1007.0
2012285S04077,2013,01, SI, MM,ANAIS,2012-10-11 12:00:00, TS, -6.60,  74.00, 20.0, 1006.0
2013339N09084,2013,08, NI, BB,MADI,2013-12-12 03:00:00, NR, 12.00,  81.50, 25.0, 1000.0
2013339N09084,2013,08, NI, BB,MADI,2013-12-12 06:00:00, NR, 11.50,  81.20, 25.0, 1000.0
2013339N09084,2013,08, NI, BB,MADI,2013-12-12 09:00:00, NR, 11.00,  80.70, 25.0, 1000.0
2013339N09084,2013,08, NI, BB,MADI,2013-12-12 12:00:00, NR, 10.50,  80.00, 25.0, 1000.0
2013339N09084,2013,08, NI, BB,MADI,2013-12-12 18:00:00, NR, 10.00,  78.80, 20.0, 1004.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 00:00:00, TS, -7.40,  78.50, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 06:00:00, TS, -7.90,  77.90, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 12:00:00, TS, -8.10,  77.20, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-23 18:00:00, TS, -8.20,  76.10, 20.0, 1006.0
2013296S07079,2014,01, SI, MM,0120132014:ONE,2013-10-24 00:00:00, TS, -8.30,  74.70, 23.0, 1005.0
2014362N07130,2014,25, WP, MM,JANGMI,2014-12-31 12:00:00, TS,  7.50, 120.40,  0.0, 1004.0
2014362N07130,2014,25, WP, MM,JANGMI,2014-12-31 18:00:00, TS,  6.90, 119.50,  0.0, 1004.0
2014362N07130,2014,25, WP, MM,JANGMI,2015-01-01 00:00:00, TS,  6.80, 119.00,  0.0, 1006.0
2014362N07130,2014,25, WP, MM,JANGMI,2015-01-01 06:00:00, TS,  6.60, 118.50,  0.0, 1004.0
2014362N07130,2014,25, WP, MM,JANGMI,2015-01-01 12:00:00, TS,  6.40, 117.50,  0.0, 1006.0
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 00:00:00, NR,-999.,-999.,-999.,-999.
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 06:00:00, TS, -6.70,  66.40,  0.0, 1009.0
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 12:00:00, TS, -6.90,  66.20, 20.0, 1007.0
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-15 18:00:00, TS, -7.20,  66.00, 23.0, 1006.0
2014319S06066,2015,01, SI, MM,ADJALI,2014-11-16 00:00:00, TS, -7.60,  66.00, 25.0, 1005.0
2015362N01179,2015,30, EP, CP,NINE,2015-12-31 12:00:00, TS,  2.20,-175.90, 30.0, 1001.0
2015362N01179,2015,30, EP, CP,NINE,2015-12-31 18:00:00, TS,  2.20,-176.20, 30.0, 1001.0
2015362N01179,2015,30, EP, CP,NINE,2016-01-01 00:00:00, DS,  2.20,-176.40, 25.0, 1003.0
2015362N01179,2015,30, EP, CP,NINE,2016-01-01 06:00:00, DS,  2.20,-176.60, 25.0, 1003.0
2015362N01179,2015,30, EP, CP,NINE,2016-01-01 12:00:00, NR,  2.20,-176.90, 25.0, 1003.0
