"article_title","author","journal","citations","year"
"A simple model of herd behavior","AV Banerjee","The quarterly journal of economics 107 (3), 797-817, 1992","7190","1992"
"Occupational choice and the process of development","AV Banerjee, AF Newman","Journal of political economy 101 (2), 274-298, 1993","3437","1993"
"Poor economics: A radical rethinking of the way to fight global poverty","AV Banerjee, A Banerjee, E Duflo","Public Affairs, 2011","2911","2011"
"The miracle of microfinance? Evidence from a randomized evaluation","A Banerjee, E Duflo, R Glennerster, C Kinnan","American Economic Journal: Applied Economics 7 (1), 22-53, 2015","1879","2015"
"The economic lives of the poor","AV Banerjee, E Duflo","Journal of economic perspectives 21 (1), 141-168, 2007","1800","2007"
"Inequality and growth: What can the data say?","AV Banerjee, E Duflo","Journal of economic growth 8 (3), 267-299, 2003","1399","2003"
"Remedying education: Evidence from two randomized experiments in India","AV Banerjee, S Cole, E Duflo, L Linden","The Quarterly Journal of Economics 122 (3), 1235-1264, 2007","1297","2007"
"History, institutions, and economic performance: The legacy of colonial land tenure systems in India","A Banerjee, L Iyer","American economic review 95 (4), 1190-1213, 2005","1258","2005"
"Growth theory through the lens of development economics","AV Banerjee, E Duflo","Handbook of economic growth 1, 473-552, 2005","1158","2005"
"Thy neighbor's keeper: The design of a credit cooperative with theory and a test","AV Banerjee, T Besley, TW Guinnane","The Quarterly Journal of Economics 109 (2), 491-515, 1994","888","1994"
"The diffusion of microfinance","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson","Science 341 (6144), 1236498, 2013","884","2013"
"A theory of misgovernance","AV Banerjee","The Quarterly journal of economics 112 (4), 1289-1332, 1997","744","1997"
"What is middle class about the middle classes around the world?","AV Banerjee, E Duflo","Journal of economic perspectives 22 (2), 3-28, 2008","740","2008"
"Currency crises and monetary policy in an economy with credit constraints","P Aghion, P Bacchetta, A Banerjee","European economic review 45 (7), 1121-1150, 2001","740","2001"
"Do firms want to borrow more? Testing credit constraints using a directed lending program","AV Banerjee, E Duflo","Review of Economic Studies 81 (2), 572-607, 2014","719","2014"
"Reputation effects and the limits of contracting: A study of the Indian software industry","AV Banerjee, E Duflo","The Quarterly Journal of Economics 115 (3), 989-1017, 2000","683","2000"
"Empowerment and efficiency: Tenancy reform in West Bengal","AV Banerjee, PJ Gertler, M Ghatak","Journal of political economy 110 (2), 239-280, 2002","632","2002"
"On the road: Access to transportation infrastructure and economic growth in China","A Banerjee, E Duflo, N Qian","National Bureau of Economic Research, 2012","589","2012"
"Six randomized evaluations of microcredit: Introduction and further steps","A Banerjee, D Karlan, J Zinman","American Economic Journal: Applied Economics 7 (1), 1-21, 2015","563","2015"
"The experimental approach to development economics","AV Banerjee, E Duflo","Annu. Rev. Econ. 1 (1), 151-178, 2009","552","2009"
"Pitfalls of participatory programs: Evidence from a randomized evaluation in education in India","AV Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani","American Economic Journal: Economic Policy 2 (1), 1-30, 2010","525","2010"
"Volatility and growth: Credit constraints and the composition of investment","P Aghion, GM Angeletos, A Banerjee, K Manova","Journal of Monetary Economics 57 (3), 246-265, 2010","518","2010"
"A multifaceted program causes lasting progress for the very poor: Evidence from six countries","A Banerjee, E Duflo, N Goldberg, D Karlan, R Osei, W Parienté, J Shapiro, ...","Science 348 (6236), 1260799, 2015","505","2015"
"The political economy of public goods: Some evidence from India","A Banerjee, R Somanathan","Journal of development Economics 82 (2), 287-314, 2007","498","2007"
"Word-of-mouth learning","A Banerjee, D Fudenberg","Games and economic behavior 46 (1), 1-22, 2004","498","2004"
"Dualism and macroeconomic volatility","P Aghion, A Banerjee, T Piketty","The Quarterly Journal of Economics 114 (4), 1359-1397, 1999","497","1999"
"A simple model of monetary policy and currency crises","P Aghion, P Bacchetta, A Banerjee","European economic review 44 (4-6), 728-738, 2000","482","2000"
"Financial development and the instability of open economies","P Aghion, P Bacchetta, A Banerjee","Journal of Monetary Economics 51 (6), 1077-1106, 2004","444","2004"
"Why has unemployment risen in the New South Africa?1","A Banerjee, S Galiani, J Levinsohn, Z McLaren, I Woolard","Economics of Transition 16 (4), 715-740, 2008","435","2008"
"A corporate balance-sheet approach to currency crises","P Aghion, P Bacchetta, A Banerjee","Journal of Economic theory 119 (1), 6-30, 2004","421","2004"
"Volatility and growth: Credit constraints and productivity-enhancing investment","P Aghion, GM Angeletos, A Banerjee, K Manova","National Bureau of Economic Research, 2005","397","2005"
"Addressing absence","A Banerjee, E Duflo","Journal of Economic perspectives 20 (1), 117-132, 2006","388","2006"
"The shape of temptation: Implications for the economic lives of the poor","A Banerjee, S Mullainathan","National Bureau of Economic Research, 2010","382","2010"
"Risk-bearing and the theory of income distribution","AV Banerjee, AF Newman","The Review of Economic Studies 58 (2), 211-235, 1991","367","1991"
"History, social divisions, and public goods in rural India","A Banerjee, L Iyer, R Somanathan","Journal of the European Economic Association 3 (2-3), 639-647, 2005","364","2005"
"Improving immunisation coverage in rural India: clustered randomised controlled evaluation of immunisation campaigns with and without incentives","AV Banerjee, E Duflo, R Glennerster, D Kothari","Bmj 340, c2220, 2010","363","2010"
"Targeting the poor: evidence from a field experiment in Indonesia","V Alatas, A Banerjee, R Hanna, BA Olken, J Tobias","American Economic Review 102 (4), 1206-40, 2012","359","2012"
"Top indian incomes, 1922–2000","A Banerjee, T Piketty","The World Bank Economic Review 19 (1), 1-20, 2005","354","2005"
"Do informed voters make better choices? Experimental evidence from urban India","A Banerjee, S Kumar, R Pande, F Su","Unpublished manuscript, 2011","344","2011"
"Wealth, health, and health services in rural Rajasthan","A Banerjee, A Deaton, E Duflo","American Economic Review 94 (2), 326-330, 2004","338","2004"
"Eco-labeling for energy efficiency and sustainability: a meta-evaluation of US programs","A Banerjee, BD Solomon","Energy policy 31 (2), 109-123, 2003","328","2003"
"The economics of rumours","AV Banerjee","The Review of Economic Studies 60 (2), 309-327, 1993","306","1993"
"Contracting Constraints, Credit Markets, and Economic Development Abhijit V. Banerjee","AV Banerjee","Advances in Economics and Econometrics: Theory and Applications, Eighth …, 2003","284","2003"
"Making aid work","AV Banerjee","MIT press, 2007","270","2007"
"Putting a band-aid on a corpse: incentives for nurses in the Indian public health care system","AV Banerjee, E Duflo, R Glennerster","Journal of the European Economic Association 6 (2-3), 487-500, 2008","265","2008"
"How efficiently is capital allocated? Evidence from the knitted garment industry in Tirupur","A Banerjee, K Munshi","The Review of Economic Studies 71 (1), 19-42, 2004","263","2004"
"Microcredit under the microscope: what have we learned in the past two decades, and what do we need to know?","AV Banerjee","Annu. Rev. Econ. 5 (1), 487-519, 2013","262","2013"
"Volatility and growth","P Aghion, A Banerjee","Oxford University Press, 2005","260","2005"
"Corruption","A Banerjee, S Mullainathan, R Hanna","National Bureau of Economic Research, 2012","254","2012"
"Inequality, control rights, and rent seeking: sugar cooperatives in Maharashtra","A Banerjee, D Mookherjee, K Munshi, D Ray","Journal of Political Economy 109 (1), 138-190, 2001","249","2001"
"Capital markets and the instability of open economies","P Aghion, P Bacchetta, A Banerjee","The Asian financial crisis: Causes, contagion and consequences, 167-194, 2000","248","2000"
"Why does misallocation persist?","AV Banerjee, B Moll","American Economic Journal: Macroeconomics 2 (1), 189-206, 2010","246","2010"
"Poverty, incentives, and development","AV Banerjee, AF Newman","The American Economic Review 84 (2), 211-215, 1994","245","1994"
"Long-run health impacts of income shocks: Wine and phylloxera in nineteenth-century France","A Banerjee, E Duflo, G Postel-Vinay, T Watts","The Review of Economics and Statistics 92 (4), 714-728, 2010","241","2010"
"Marry for what? Caste and mate selection in modern India","A Banerjee, E Duflo, M Ghatak, J Lafortune","American Economic Journal: Microeconomics 5 (2), 33-72, 2013","233","2013"
